Census Year,CountyFIPSCode,Economic Development Region,Workforce Development Area,County Name,County Code,Age Range,Gender,Total Population,No High School Diploma,High School Diploma Or Equivalent,Some College No Degree,Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,BachelorDegreeAndMore,Total Post-Secondary Degrees,latitude,longitude
01/01/2010 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Male,6878,671,3269,1158,558,694,528,1222,1780,41.8205686,-75.802503
01/01/2010 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Female,6652,520,3106,1182,714,617,513,1130,1844,41.8205686,-75.802503
01/01/2015 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Female,6756,508,2969,1275,777,741,486,1227,2004,41.8205686,-75.802503
01/01/2016 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Female,6668,494,2991,1311,719,671,482,1153,1872,41.8205686,-75.802503
01/01/2012 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Male,6994,698,3308,1254,592,682,460,1142,1734,41.8205686,-75.802503
01/01/2013 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Male,7011,652,3431,1193,600,683,452,1135,1735,41.8205686,-75.802503
01/01/2011 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Female,6752,531,3060,1223,781,709,448,1157,1938,41.8205686,-75.802503
01/01/2012 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Female,6801,518,3138,1242,789,668,446,1114,1903,41.8205686,-75.802503
01/01/2013 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Female,6806,508,3150,1242,789,673,444,1117,1906,41.8205686,-75.802503
01/01/2014 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Male,6956,673,3470,1172,542,673,426,1099,1641,41.8205686,-75.802503
01/01/2014 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Female,6801,471,3133,1297,740,741,419,1160,1900,41.8205686,-75.802503
01/01/2015 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Male,6898,741,3558,1161,499,628,311,939,1438,41.8205686,-75.802503
01/01/2016 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Male,6774,773,3531,1081,497,591,301,892,1389,41.8205686,-75.802503
01/01/2012 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Female,2572,160,1121,446,275,376,194,570,845,41.8205686,-75.802503
01/01/2016 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Female,2184,122,893,400,282,296,191,487,769,41.8205686,-75.802503
01/01/2015 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Female,2280,127,953,407,282,322,189,511,793,41.8205686,-75.802503
